,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
8607,"Nutricost, Органическая спирулина, без добавок, 907 г (32,4 унции)",Nutricost,2026-12-01,908,г,1.04,5095,Зелень и суперфуды,22.6,13.8,13.8,органический спирулина добавка,10
8608,"Swanson, Сине-зеленые водоросли спирулина, 500 мг, 90 растительных капсул",Swanson,2025-10-01,90,шт.,0.09,1563,Зелень и суперфуды,11.0,5.8,5.8,сине-зеленый водоросль спирулина,10
8609,"Frontier Co-op, Organic Spirulina Powder, 16 oz (453 g)",Frontier Co-op,2026-05-01,454,г,0.48,5537,Зелень и суперфуды,24.9,20.8,3.0,organic spirulina powder,10
8610,"California Gold Nutrition, AstaBlue, комплекс со спирулиной, 60 таблеток",California Gold Nutrition,,60,шт.,0.05,1845,Зелень и суперфуды,8.6,5.2,5.1,astablue комплекс спирулина,10
8611,"NOW Foods, Натуральная спирулина, 500 мг, 120 растительных капсул",NOW Foods,2025-08-01,120,шт.,0.11,2114,Зелень и суперфуды,6.4,6.4,11.2,натуральный спирулина,10
8612,"KOS, Органическая спирулина в порошке, 210 г (7,4 унции)",KOS,2026-01-01,210,г,0.23,3210,Зелень и суперфуды,14.2,15.7,5.5,органический спирулин порошок,10
8613,"NOW Foods, сертифицированная органическая спирулина, 3000 мг, 100 таблеток (500 мг в 1 таблетке)",NOW Foods,2026-08-01,100,шт.,0.07,1231,Зелень и суперфуды,10.5,5.0,5.0,сертифицированный органический спирулин,10
8614,"Swanson, Органическая спирулина и астаксантин, 120 растительных таблеток",Swanson,,120,шт.,0.08,1920,Зелень и суперфуды,8.8,5.5,4.6,органический спирулин астаксантин,10
8615,"Zint, Органическая спирулина в порошке, 340 г (12 унций)",Zint,2024-12-01,340,г,0.41,3489,Зелень и суперфуды,17.1,9.3,9.3,органический спирулин порошок,10
8616,"KOS, Bolt from the Blue, бодрящая смесь голубой спирулины, со вкусом ягод ягод, 237 г (8,36 унции)",KOS,2025-09-01,220,г,0.29,5582,Зелень и суперфуды,11.6,9.4,9.4,bolt from the blue бодрящий смесь голубой спирулина вкус ягода ягода,10
8617,"Source Naturals, Спирулина, 500 мг, 200 таблеток",Source Naturals,2025-12-01,200,шт.,0.18,2433,Зелень и суперфуды,5.8,5.8,11.2,спирулина,10
8618,"KOS, Органическая спирулина в порошке, 381,5 г (13,5 унции)",KOS,2025-07-01,382,г,0.48,4453,Зелень и суперфуды,13.6,11.3,11.2,органический спирулин порошок,10
8619,"Nature's Way, спирулина, микроводоросли, 380 мг, 100 веганских капсул",Nature's Way,2028-11-01,100,шт.,0.07,1857,Зелень и суперфуды,10.9,5.1,5.1,спирулина микроводоросль,10
8620,"Earthrise, Натуральная спирулина, 500 мг, 180 таблеток",Earthrise,2025-04-01,180,шт.,0.25,3596,Зелень и суперфуды,6.1,6.1,10.9,натуральный спирулина,10
8621,"Zhou Nutrition, Спирулина, суперфуд для долголетия, 170 г (6 унций)",Zhou Nutrition,2025-09-01,170,г,0.23,4779,Зелень и суперфуды,9.4,9.3,9.1,спирулина суперфуд долголетие,10
8622,"Organic Traditions, Спирулина в порошке, 150 г (5,3 унции)",Organic Traditions,2025-02-01,150,г,0.16,2525,Зелень и суперфуды,15.5,10.5,7.2,спирулина порошок,10
8623,"Earthrise, Spirulina Natural, добавка со спирулиной, 500 мг, 360 таблеток",Earthrise,2025-04-01,360,шт.,0.46,5524,Зелень и суперфуды,7.4,7.4,14.0,spirulina natural добавка спирулина,10
8624,"Zhou Nutrition, Спирулина, суперпродукт долголетия, 180 таблеток",Zhou Nutrition,2026-12-01,180,шт.,0.12,4290,Зелень и суперфуды,10.9,5.8,5.8,спирулина суперпродукт долголетие,10
8625,"NOW Foods, Сертифицированный порошок органической спирулины, 454 г (1 фунт )",NOW Foods,2025-05-01,454,г,0.54,5155,Зелень и суперфуды,17.7,10.4,10.4,сертифицировать порошок органический спирулина,10
8626,"NOW Foods, сертифицированная органическая спирулина, 3000 мг, 200 таблеток (500 мг в 1 таблетке)",NOW Foods,2026-06-01,200,шт.,0.14,2114,Зелень и суперфуды,11.3,6.4,6.2,сертифицированный органический спирулин,10
8627,"Ojio, Органическая спирулина, 500 мг, 500 таблеток",Ojio,,500,шт.,0.3,3450,Зелень и суперфуды,15.7,8.1,8.6,органический спирулина,10
8628,"NOW Foods, Хлорелла, 1000 мг, 60 таблеток",NOW Foods,2025-10-01,60,шт.,0.1,1793,Зелень и суперфуды,10.5,5.0,5.0,хлорелла,10
8629,"BareOrganics, Органическая хлорелла в порошке, 227 г (8 унций)",BareOrganics,2025-05-01,227,г,0.29,3729,Зелень и суперфуды,11.2,10.5,10.5,органический хлорелла порошок,10
8630,"NutriBiotic, Хлорелла, 500 мг, 300 веганских таблеток",NutriBiotic,2028-01-01,300,шт.,0.23,4860,Зелень и суперфуды,13.1,7.2,7.2,хлорелла,10
8631,"Nature's Way, Хлорелла, микроводоросли, 1230 мг, 100 веганских капсул (410 мг в 1 капсуле)",Nature's Way,2028-09-01,100,шт.,0.08,2544,Зелень и суперфуды,10.4,4.6,4.6,хлорелла микроводоросль,10
8632,"Sunfood, Хлорелла в таблетках, 250 мг, 456 таблеток, 113 г (4 унции)",Sunfood,,452,шт.,0.11,4779,Зелень и суперфуды,2.5,10.2,10.7,хлорелла таблетка таблетка,10
8633,"Sunfood, Хлорелла с разрушенной клеточной оболочкой в таблетках, 250 мг, 912 таблеток, 227 г (8 унций)",Sunfood,,912,шт.,0.23,8047,Зелень и суперфуды,15.0,13.8,8.3,хлорелла разрушать клеточный оболочка таблетка таблетка,10
8634,"Source Naturals, хлорелла Яэяма, 226,8 г (8 унций)",Source Naturals,2026-03-01,227,г,0.29,4181,Зелень и суперфуды,9.8,9.1,9.1,хлорелла яэям,10
8635,"Swanson, Kyoto, хлорелла, 300 таблеток",Swanson,2025-04-01,300,шт.,0.1,2541,Зелень и суперфуды,8.8,4.6,4.6,kyoto хлорелла,10
8636,"Green Foods Corporation, Органическая хлорелла, 500 мг, 120 таблеток",Green Foods Corporation,2025-09-01,120,шт.,0.11,2718,Зелень и суперфуды,5.8,5.8,11.4,органический хлорелла,10
8637,"Source Naturals, Хлорелла 200 таблеток",Source Naturals,2025-03-01,200,шт.,0.14,3007,Зелень и суперфуды,11.2,6.1,6.1,,10
8638,"Dr. Mercola, ферментированная хлорелла, 450 таблеток",Dr. Mercola,2025-11-01,450,шт.,0.27,2987,Зелень и суперфуды,11.9,6.4,6.6,ферментировать хлорелла,10
8639,"Zhou Nutrition, хлорелла, 120 таблеток",Zhou Nutrition,2027-03-01,120,шт.,0.11,3351,Зелень и суперфуды,11.3,6.4,6.4,хлорелла,10
8640,"Green Foods Corporation, Органический порошок хлореллы, 2,1 унции (60 г)",Green Foods Corporation,2025-10-01,59,г,0.09,2718,Зелень и суперфуды,5.6,5.6,11.4,органический порошок хлорелла,10
8641,"Swanson, Kyoto Chlorella Complex, 120 таблеток",Swanson,,120,шт.,0.09,3556,Зелень и суперфуды,10.5,5.2,5.0,kyoto chlorella complex,10
8642,"Earth Circle Organics, органическая хлорелла в таблетках, 400 мг, 400 таблеток, 100 г (3,5 унции) (62,5 мг в 1 таблетке)",Earth Circle Organics,2026-01-01,400,шт.,0.11,2172,Зелень и суперфуды,12.7,9.7,5.1,органический хлорелла таблетка таблетка,10
8643,"HealthForce Superfoods, Хлорелла и манна, 350 г (12,34 унции)",HealthForce Superfoods,2025-10-01,12.34,Not provided,0.73,8041,Зелень и суперфуды,16.5,9.1,9.1,хлорелла манн,10
8644,"Source Naturals, Хлорелла с островов Яэяма, 200 мг, 300 таблеток",Source Naturals,2025-10-01,300,шт.,0.09,2379,Зелень и суперфуды,2.8,15.5,9.7,хлорелла остров яэям,10
8645,"Nutricost, органическая хлорелла, без добавок, 113 г (4 унции)",Nutricost,,113,г,0.14,2599,Зелень и суперфуды,8.0,7.2,7.2,органический хлорелла добавка,10
8646,"Ojio, Органическая хлорелла в таблетках, 250 мг, 1000 таблеток",Ojio,2024-08-01,1000,шт.,0.34,4043,Зелень и суперфуды,16.5,8.6,8.6,органический хлорелла таблетка,10
8647,"Solgar, хлорелла (с разрушенной клеточной оболочкой), 100 вегетарианских капсул",Solgar,,100,шт.,0.23,3065,Зелень и суперфуды,10.9,5.8,5.8,хлорелла разрушать клеточный оболочка,10
8648,"Nutricost, органическая хлорелла, 500 мг, 240 таблеток",Nutricost,2026-11-01,240,шт.,0.16,2756,Зелень и суперфуды,11.0,6.0,6.0,органический хлорелла,10
8649,"Dr. Mercola, ферментированная хлорелла с хлорофиллом, 112,5 г (3,96 унции)",Dr. Mercola,2025-10-01,112.264,г,0.11,3489,Зелень и суперфуды,15.1,13.7,4.3,ферментировать хлорелла хлорофилл,10
8650,"Swanson, Киотская хлорелла, 1500 таблеток",Swanson,2024-05-01,1500,шт.,0.38,8622,Зелень и суперфуды,15.7,8.1,8.0,киотский хлорелла,10
